Ferti 3-3-6_ 0  :  NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,18:40:42
1,1,1,0
1,44,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,43,33,38
1,42,33,38
1,42,33,38
Light Source Color - OFF	 , 28/03/2024,18:40:54
2,42,33,38
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,18:41:06
3,1,1,0
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
3,40,3,4
Light Source Color - OFF	 , 28/03/2024,18:41:19
4,31,2,3
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,18:41:31
5,1,1,0
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
Light Source Color - OFF	 , 28/03/2024,18:41:43
6,4,24,9
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,18:41:55
7,1,1,2
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
Light Source Color - OFF	 , 28/03/2024,18:42:07
8,1,7,19
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,18:42:19
9,1,1,0
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,42,33,38
9,42,33,38
9,42,33,37
9,42,33,37
9,42,33,37
9,42,33,37
9,42,33,37
Light Source Color - OFF	 , 28/03/2024,18:42:32
10,42,33,37
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,18:42:44
11,5,1,1
11,40,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
11,39,3,4
Light Source Color - OFF	 , 28/03/2024,18:42:56
12,39,3,4
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,18:43:08
13,1,1,0
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
Light Source Color - OFF	 , 28/03/2024,18:43:20
14,4,24,8
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,18:43:32
15,1,4,9
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
Light Source Color - OFF	 , 28/03/2024,18:43:44
