NPK_PO4_0.8mgL_0  :  ปริมาณ 0.8 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:58:04
1,1,1,0
1,107,211,255
1,106,210,255
1,106,210,255
1,106,210,255
1,105,210,255
1,105,210,255
1,105,209,255
1,105,209,255
1,104,208,255
1,104,208,255
1,104,208,255
1,104,208,255
1,104,208,255
1,104,208,255
1,104,208,255
1,104,208,255
Light Source Color - OFF	 , 28/03/2024,11:58:16
2,104,208,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,11:58:29
3,1,1,0
3,88,6,10
3,88,6,10
3,88,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
3,87,6,10
Light Source Color - OFF	 , 28/03/2024,11:58:41
4,75,5,9
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:58:53
5,1,1,0
5,18,142,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,141,54
5,18,140,54
Light Source Color - OFF	 , 28/03/2024,11:59:05
6,18,140,54
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:59:17
7,1,1,0
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
7,4,68,233
Light Source Color - OFF	 , 28/03/2024,11:59:30
8,4,68,233
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:59:42
9,16,29,40
9,105,209,255
9,104,208,255
9,104,208,255
9,104,208,255
9,104,208,255
9,104,209,255
9,104,209,255
9,104,208,255
9,103,208,255
9,104,208,255
9,103,208,255
9,103,208,255
9,103,208,255
9,103,208,255
9,103,208,255
9,103,208,255
Light Source Color - OFF	 , 28/03/2024,11:59:54
10,102,208,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,12:00:06
11,1,1,0
11,86,6,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
Light Source Color - OFF	 , 28/03/2024,12:00:19
12,86,5,10
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,12:00:31
13,5,34,13
13,18,141,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
13,18,140,54
Light Source Color - OFF	 , 28/03/2024,12:00:43
14,18,140,54
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,12:00:55
15,1,1,0
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
15,4,68,233
Light Source Color - OFF	 , 28/03/2024,12:01:07
