NPK_PO4_02mgL_2  :  ปริมาณ 0.6 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,10:54:10
1,1,1,0
1,26,92,145
1,26,92,145
1,26,92,145
1,26,92,145
1,26,92,144
1,26,92,144
1,26,92,144
1,26,91,144
1,25,91,144
1,25,91,144
1,25,91,144
1,25,91,144
1,25,91,144
1,25,91,144
1,25,91,144
1,25,91,144
1,25,91,144
Light Source Color - OFF	 , 28/03/2024,10:54:23
2,20,73,115
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,10:54:35
3,1,1,0
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
3,19,2,2
Light Source Color - OFF	 , 28/03/2024,10:54:48
4,19,2,2
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,10:55:00
5,1,1,0
5,7,58,23
5,7,58,23
5,7,58,23
5,7,58,23
5,7,58,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
5,7,57,23
Light Source Color - OFF	 , 28/03/2024,10:55:13
6,7,57,23
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,10:55:25
7,1,1,0
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
7,3,36,125
Light Source Color - OFF	 , 28/03/2024,10:55:38
8,3,36,125
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,10:55:51
9,1,1,0
9,26,92,145
9,26,92,145
9,26,92,145
9,26,92,145
9,26,92,145
9,26,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
9,25,91,144
Light Source Color - OFF	 , 28/03/2024,10:56:03
10,25,91,144
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,10:56:16
11,1,1,0
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
11,19,2,2
Light Source Color - OFF	 , 28/03/2024,10:56:28
12,19,2,2
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
