NPK_PO4_10mgL_0  :  ปริมาณ 10 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,13:09:14
1,36,69,95
1,107,211,255
1,107,210,255
1,106,210,255
1,106,210,255
1,106,210,255
1,106,209,255
1,105,209,255
1,105,209,255
1,105,209,255
1,105,209,255
1,105,209,255
1,105,209,255
1,105,208,255
1,105,208,255
1,104,208,255
1,104,208,255
Light Source Color - OFF	 , 28/03/2024,13:09:27
2,104,208,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,13:09:39
3,1,1,0
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
3,88,5,10
Light Source Color - OFF	 , 28/03/2024,13:09:51
4,74,5,8
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,13:10:04
5,1,1,0
5,18,139,54
5,18,138,54
5,18,138,54
5,18,138,53
5,18,138,53
5,18,138,53
5,18,138,53
5,18,138,53
5,18,138,53
5,18,138,53
5,18,138,53
5,18,137,53
5,18,137,53
5,18,137,53
5,18,137,53
5,18,137,53
Light Source Color - OFF	 , 28/03/2024,13:10:16
6,18,137,53
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,13:10:28
7,1,6,19
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
7,4,71,237
Light Source Color - OFF	 , 28/03/2024,13:10:41
8,4,71,237
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,13:10:53
9,1,1,0
9,105,209,255
9,105,208,255
9,104,208,255
9,104,208,255
9,104,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
9,103,207,255
Light Source Color - OFF	 , 28/03/2024,13:11:06
10,103,207,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,13:11:18
11,18,2,2
11,87,5,10
11,87,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
11,86,5,10
Light Source Color - OFF	 , 28/03/2024,13:11:30
12,86,5,10
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,13:11:43
13,1,1,0
13,18,137,53
13,18,137,53
13,18,137,53
13,18,137,53
13,18,137,53
13,18,137,53
13,18,137,53
13,18,137,53
13,18,137,53
13,18,136,53
13,18,136,53
13,18,136,53
13,18,136,53
13,18,136,53
13,18,136,53
13,18,136,53
Light Source Color - OFF	 , 28/03/2024,13:11:55
14,18,136,53
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,13:12:07
15,2,23,74
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
15,4,70,236
Light Source Color - OFF	 , 28/03/2024,13:12:20
