NPK_Red_Soil_0.2mgL0  :  NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,17:02:30
1,1,1,0
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,19,14,16
1,18,14,16
1,18,14,16
1,18,14,16
1,18,14,16
Light Source Color - OFF	 , 28/03/2024,17:02:43
2,13,10,12
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,17:02:55
3,1,1,0
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
3,17,1,2
Light Source Color - OFF	 , 28/03/2024,17:03:08
4,17,1,2
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,17:03:21
5,1,3,1
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
Light Source Color - OFF	 , 28/03/2024,17:03:34
6,2,10,4
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,17:03:46
7,1,1,0
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
7,1,5,13
Light Source Color - OFF	 , 28/03/2024,17:03:59
8,1,3,9
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,17:04:12
9,1,1,0
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
9,18,14,16
Light Source Color - OFF	 , 28/03/2024,17:04:25
10,18,14,16
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,17:04:37
11,5,1,1
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
11,17,1,2
Light Source Color - OFF	 , 28/03/2024,17:04:50
12,17,1,2
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,17:05:03
13,1,1,0
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
13,2,10,3
Light Source Color - OFF	 , 28/03/2024,17:05:16
14,2,8,3
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,17:05:28
15,1,1,0
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
15,1,5,13
Light Source Color - OFF	 , 28/03/2024,17:05:41
