NPK_Red_Soil_0.2mgL4  :  ดินแดง หลังอบแห้งด้วยโครมไฟ  NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,17:28:57
1,2,2,1
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
1,26,19,23
Light Source Color - OFF	 , 28/03/2024,17:29:09
2,26,19,23
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,17:29:21
3,5,1,1
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
Light Source Color - OFF	 , 28/03/2024,17:29:33
4,24,2,3
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,17:29:45
5,1,5,2
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
5,3,14,5
Light Source Color - OFF	 , 28/03/2024,17:29:58
6,3,14,5
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,17:30:10
7,1,1,0
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
7,1,6,18
Light Source Color - OFF	 , 28/03/2024,17:30:22
8,1,6,17
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,17:30:34
9,1,1,0
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,26,19,23
9,25,19,23
9,25,19,23
9,25,19,23
9,25,19,23
Light Source Color - OFF	 , 28/03/2024,17:30:46
10,21,16,19
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,17:30:58
11,1,1,0
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
11,24,2,3
Light Source Color - OFF	 , 28/03/2024,17:31:10
12,17,1,2
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,17:31:22
13,1,1,0
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
13,3,14,5
Light Source Color - OFF	 , 28/03/2024,17:31:34
14,3,14,5
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,17:31:46
15,1,1,0
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
15,1,6,18
Light Source Color - OFF	 , 28/03/2024,17:31:58
