NPK_Red_Soil_0  :  NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,16:50:43
1,9,5,6
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
1,25,16,19
Light Source Color - OFF	 , 28/03/2024,16:50:55
2,25,16,19
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,16:51:08
3,1,1,0
3,24,2,3
3,24,2,3
3,24,2,3
3,24,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
3,23,2,3
Light Source Color - OFF	 , 28/03/2024,16:51:21
4,23,2,3
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,16:51:33
5,1,1,0
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
5,2,11,4
Light Source Color - OFF	 , 28/03/2024,16:51:46
6,2,10,3
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,16:51:59
7,1,1,0
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
7,1,5,14
Light Source Color - OFF	 , 28/03/2024,16:52:11
8,1,4,10
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,16:52:24
9,1,1,0
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,25,16,19
9,24,16,19
9,24,16,19
9,24,16,19
9,24,16,19
9,24,16,19
Light Source Color - OFF	 , 28/03/2024,16:52:37
10,17,11,13
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,16:52:50
11,1,1,0
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
11,23,2,3
Light Source Color - OFF	 , 28/03/2024,16:53:02
12,23,2,3
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,16:53:15
13,1,2,0
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
13,2,11,4
Light Source Color - OFF	 , 28/03/2024,16:53:28
14,2,11,4
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,16:53:40
15,1,2,4
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
15,1,5,14
Light Source Color - OFF	 , 28/03/2024,16:53:53
