NPK_Red_Soil_10mgL100ul0  :  ดินแดง หลังอบแห้งด้วยโครมไฟ  NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,18:07:35
1,1,1,0
1,24,14,17
1,24,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
1,23,14,17
Light Source Color - OFF	 , 28/03/2024,18:07:47
2,23,14,17
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,18:07:59
3,1,1,0
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
3,22,2,2
Light Source Color - OFF	 , 28/03/2024,18:08:11
4,22,2,2
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,18:08:23
5,1,1,0
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
5,2,10,4
Light Source Color - OFF	 , 28/03/2024,18:08:35
6,2,10,4
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,18:08:48
7,1,1,0
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
7,1,4,12
Light Source Color - OFF	 , 28/03/2024,18:09:00
8,1,4,11
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,18:09:12
9,1,1,0
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
9,23,14,17
Light Source Color - OFF	 , 28/03/2024,18:09:24
10,19,12,14
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,18:09:36
11,1,1,0
11,22,2,2
11,22,2,2
11,22,2,2
11,22,2,2
11,22,2,2
11,22,2,2
11,22,2,2
11,22,2,2
11,22,2,2
11,22,2,2
11,21,2,2
11,21,2,2
11,21,2,2
11,21,2,2
11,21,2,2
Light Source Color - OFF	 , 28/03/2024,18:09:48
12,17,1,2
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,18:10:00
13,1,1,0
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
13,2,10,4
Light Source Color - OFF	 , 28/03/2024,18:10:12
14,2,7,3
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,18:10:24
15,1,1,0
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
15,1,4,12
Light Source Color - OFF	 , 28/03/2024,18:10:36
