PO4_0  :  ปริมาณ 0.2 มิลลิกรัมต่อลิตร... NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
0,5,26,10
Light Source Color - WHITE	 , 28/03/2024,10:02:47
1,5,26,10
1,213,255,255
1,213,255,255
1,212,255,255
1,212,255,255
1,211,255,255
1,211,255,255
1,211,255,255
1,210,255,255
1,210,255,255
1,210,255,255
1,209,255,255
1,209,255,255
1,209,255,255
1,209,255,255
1,209,255,255
1,208,255,255
1,208,255,255
Light Source Color - OFF	 , 28/03/2024,10:03:00
2,208,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,10:03:12
3,1,1,0
3,188,11,21
3,187,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,186,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
Light Source Color - OFF	 , 28/03/2024,10:03:24
4,185,11,21
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,10:03:37
5,6,39,15
5,26,190,72
5,26,190,72
5,26,190,71
5,26,190,71
5,26,190,71
5,26,190,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
5,26,189,71
Light Source Color - OFF	 , 28/03/2024,10:03:49
6,26,189,71
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,10:04:02
7,1,1,0
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
Light Source Color - OFF	 , 28/03/2024,10:04:14
8,4,79,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
