PO4_02mgL_7  :  ปริมาณ 0.2 มิลลิกรัมต่อลิตร... NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,5,26,10
0,5,26,10
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
0,5,26,9
Light Source Color - WHITE	 , 28/03/2024,10:23:03
1,5,26,9
1,212,255,255
1,210,255,255
1,210,255,255
1,209,255,255
1,209,255,255
1,209,255,255
1,208,255,255
1,208,255,255
1,208,255,255
1,207,255,255
1,207,255,255
1,207,255,255
1,207,255,255
1,207,255,255
1,207,255,255
1,206,255,255
1,206,255,255
Light Source Color - OFF	 , 28/03/2024,10:23:15
2,206,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,10:23:28
3,26,2,3
3,186,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,185,11,21
3,184,11,21
3,184,11,21
3,184,11,21
3,184,11,21
3,184,11,21
3,184,11,21
Light Source Color - OFF	 , 28/03/2024,10:23:41
4,184,11,21
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,10:23:53
5,1,1,0
5,25,189,71
5,25,189,71
5,25,189,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,71
5,25,188,70
5,25,188,70
Light Source Color - OFF	 , 28/03/2024,10:24:06
6,25,188,70
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,10:24:18
7,1,5,13
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
7,4,79,255
Light Source Color - OFF	 , 28/03/2024,10:24:31
8,4,79,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
