Tube_blank_0.2mgL0  :  -- 
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:21:53
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 28/03/2024,11:22:05
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,11:22:18
3,1,1,0
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
Light Source Color - OFF	 , 28/03/2024,11:22:30
4,255,16,32
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:22:42
5,7,47,17
5,31,229,85
5,31,228,85
5,31,228,85
5,31,228,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
5,31,227,85
Light Source Color - OFF	 , 28/03/2024,11:22:54
6,31,227,85
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:23:07
7,1,1,0
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
Light Source Color - OFF	 , 28/03/2024,11:23:19
8,5,86,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:23:32
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 28/03/2024,11:23:44
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,11:23:56
11,1,1,0
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
Light Source Color - OFF	 , 28/03/2024,11:24:08
12,255,15,29
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:24:21
13,1,1,0
13,31,228,85
13,31,228,85
13,31,228,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
13,31,227,85
Light Source Color - OFF	 , 28/03/2024,11:24:33
14,31,227,85
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:24:46
15,2,11,32
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
Light Source Color - OFF	 , 28/03/2024,11:24:58
