Tube_blank_0.6mgL0  :  --
Light Source Color - OFF
N,P,K
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
0,6,34,12
Light Source Color - WHITE	 , 28/03/2024,11:43:41
1,6,34,12
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 28/03/2024,11:43:53
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,11:44:05
3,4,1,1
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
3,255,14,28
Light Source Color - OFF	 , 28/03/2024,11:44:18
4,244,14,27
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:44:30
5,5,30,11
5,30,221,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,222,82
5,30,221,82
5,30,221,81
5,30,221,81
Light Source Color - OFF	 , 28/03/2024,11:44:42
6,26,187,69
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:44:54
7,2,20,64
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,85,255
7,5,84,255
7,5,85,255
7,5,85,255
7,5,84,255
7,5,85,255
7,5,85,255
7,5,84,255
7,5,84,255
7,5,85,255
7,5,84,255
7,5,84,255
Light Source Color - OFF	 , 28/03/2024,11:45:06
8,4,63,209
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:45:18
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 28/03/2024,11:45:30
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,11:45:42
11,1,1,0
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
11,255,14,28
Light Source Color - OFF	 , 28/03/2024,11:45:55
12,255,14,28
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:46:07
13,1,1,0
13,30,221,82
13,30,222,82
13,30,222,82
13,30,222,82
13,30,222,82
13,30,222,82
13,30,221,81
13,30,221,81
13,30,221,81
13,30,221,81
13,30,221,81
13,30,221,81
13,30,221,81
13,30,221,81
13,30,221,81
13,30,221,81
Light Source Color - OFF	 , 28/03/2024,11:46:19
14,30,221,81
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:46:31
15,1,1,0
15,5,84,255
15,5,84,255
15,5,85,255
15,5,84,255
15,5,85,255
15,5,85,255
15,5,84,255
15,5,85,255
15,5,85,255
15,5,84,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
Light Source Color - OFF	 , 28/03/2024,11:46:43
