Tube_blank_0  :  -- 
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:19:53
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 28/03/2024,11:20:05
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,11:20:18
3,1,1,0
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
Light Source Color - OFF	 , 28/03/2024,11:20:30
4,255,16,32
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,11:20:42
5,6,33,12
5,31,230,86
5,31,230,86
5,31,229,86
5,31,229,85
5,31,229,85
5,31,229,85
5,31,229,85
5,31,229,85
5,31,229,85
5,31,229,85
5,31,228,85
5,31,228,85
5,31,228,85
5,31,228,85
5,31,228,85
5,31,228,85
Light Source Color - OFF	 , 28/03/2024,11:20:54
6,31,228,85
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,11:21:07
7,1,1,0
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
Light Source Color - OFF	 , 28/03/2024,11:21:19
8,5,86,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,11:21:31
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
