Tube_blank_10mgL0  :  __
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,13:03:48
1,80,84,101
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 28/03/2024,13:04:01
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,13:04:13
3,1,1,0
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
3,255,16,32
Light Source Color - OFF	 , 28/03/2024,13:04:25
4,255,15,30
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,13:04:38
5,1,1,0
5,33,240,90
5,33,239,89
5,33,239,89
5,33,239,89
5,33,239,89
5,33,239,89
5,33,239,89
5,33,239,89
5,33,239,89
5,33,239,89
5,33,239,89
5,33,238,89
5,33,238,89
5,33,238,89
5,33,238,89
5,33,238,89
Light Source Color - OFF	 , 28/03/2024,13:04:50
6,33,238,89
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,13:05:02
7,1,1,0
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
7,5,88,255
Light Source Color - OFF	 , 28/03/2024,13:05:15
8,4,64,215
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,13:05:27
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 28/03/2024,13:05:40
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,13:05:52
11,38,3,5
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
11,255,16,32
Light Source Color - OFF	 , 28/03/2024,13:06:04
12,255,16,32
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,13:06:17
13,1,1,0
13,33,239,89
13,33,239,89
13,33,239,89
13,33,239,89
13,33,239,89
13,33,239,89
13,33,238,89
13,33,238,89
13,33,238,89
13,33,238,89
13,33,238,89
13,33,238,89
13,33,238,89
13,33,238,88
13,32,238,88
13,32,238,88
Light Source Color - OFF	 , 28/03/2024,13:06:29
14,33,238,88
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,13:06:41
15,2,23,76
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
15,5,88,255
Light Source Color - OFF	 , 28/03/2024,13:06:54
