Tube_blank_2.0mgL0  :   __
Light Source Color - OFF
N,P,K
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
0,6,33,12
Light Source Color - WHITE	 , 28/03/2024,12:12:05
1,6,33,12
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 28/03/2024,12:12:17
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,12:12:30
3,59,4,7
3,251,14,28
3,251,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,250,14,28
3,249,14,28
Light Source Color - OFF	 , 28/03/2024,12:12:42
4,249,14,28
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,12:12:54
5,1,1,0
5,31,232,84
5,31,231,84
5,31,231,84
5,31,231,84
5,31,231,84
5,31,231,84
5,31,231,84
5,31,231,83
5,31,230,83
5,31,230,83
5,31,230,83
5,31,230,83
5,31,230,83
5,31,230,83
5,31,230,83
5,31,230,83
Light Source Color - OFF	 , 28/03/2024,12:13:06
6,31,230,83
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,12:13:18
7,1,1,0
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
7,5,83,255
Light Source Color - OFF	 , 28/03/2024,12:13:31
8,4,69,226
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,12:13:43
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 28/03/2024,12:13:55
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,12:14:07
11,1,1,0
11,250,14,28
11,250,14,28
11,250,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,249,14,28
11,248,14,28
Light Source Color - OFF	 , 28/03/2024,12:14:20
12,186,11,21
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,12:14:32
13,3,11,4
13,31,231,84
13,31,231,84
13,31,231,84
13,31,231,84
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
13,31,230,83
Light Source Color - OFF	 , 28/03/2024,12:14:44
14,31,230,83
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,12:14:56
15,1,1,0
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
15,5,83,255
Light Source Color - OFF	 , 28/03/2024,12:15:08
