Tube_blank_4.0mgL0  :  __
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,12:36:27
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 28/03/2024,12:36:40
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,12:36:52
3,1,1,0
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
3,255,14,29
Light Source Color - OFF	 , 28/03/2024,12:37:04
4,244,14,27
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,12:37:16
5,1,1,0
5,31,235,86
5,31,234,86
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,233,85
5,31,233,85
5,31,233,85
5,31,233,85
5,31,233,85
5,31,233,85
5,31,233,85
Light Source Color - OFF	 , 28/03/2024,12:37:29
6,27,199,73
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,12:37:41
7,1,1,0
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
7,5,84,255
Light Source Color - OFF	 , 28/03/2024,12:37:53
8,4,63,211
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,12:38:06
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 28/03/2024,12:38:18
10,203,235,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,12:38:30
11,1,1,0
11,255,14,29
11,255,14,29
11,255,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
11,254,14,29
Light Source Color - OFF	 , 28/03/2024,12:38:42
12,254,14,29
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,12:38:55
13,1,1,0
13,31,234,86
13,31,234,85
13,31,234,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
Light Source Color - OFF	 , 28/03/2024,12:39:07
14,31,233,85
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,12:39:19
15,1,1,0
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
15,5,84,255
Light Source Color - OFF	 , 28/03/2024,12:39:32
