NPK_N_0.2mgL_2  :  ปริมาณ 0.2 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
0,8,46,17
Light Source Color - WHITE	 , 29/03/2024,16:53:59
1,84,125,115
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,16:54:12
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,16:54:24
3,43,3,5
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
3,255,18,36
Light Source Color - OFF	 , 29/03/2024,16:54:36
4,255,18,36
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,16:54:49
5,5,28,11
5,42,255,116
5,42,255,116
5,42,255,116
5,42,255,116
5,42,255,116
5,42,255,116
5,42,255,115
5,42,255,115
5,42,255,115
5,42,255,115
5,42,255,115
5,42,255,115
5,42,255,115
5,42,255,115
5,42,255,115
Light Source Color - OFF	 , 29/03/2024,16:55:01
6,42,255,115
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,16:55:13
7,1,5,13
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
7,6,109,255
Light Source Color - OFF	 , 29/03/2024,16:55:25
8,6,109,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,16:55:38
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,16:55:50
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,16:56:02
11,1,1,0
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
11,255,18,36
Light Source Color - OFF	 , 29/03/2024,16:56:15
12,219,12,24
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,16:56:27
13,1,1,0
13,42,255,116
13,42,255,116
13,42,255,116
13,42,255,116
13,42,255,116
13,42,255,116
13,42,255,115
13,42,255,115
13,42,255,115
13,42,255,115
13,42,255,115
13,42,255,115
13,42,255,115
13,42,255,115
13,42,255,115
Light Source Color - OFF	 , 29/03/2024,16:56:39
14,32,228,85
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,16:56:52
15,1,1,0
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
15,6,109,255
Light Source Color - OFF	 , 29/03/2024,16:57:04
