NPK_N_10mgL_1  :  ปริมาณ 10 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
0,6,29,10
Light Source Color - WHITE	 , 29/03/2024,15:50:05
1,96,87,69
1,255,251,235
1,255,250,234
1,255,250,234
1,255,250,234
1,255,249,234
1,255,249,234
1,255,249,234
1,255,249,234
1,255,249,233
1,255,249,233
1,255,249,233
1,255,249,233
1,255,249,233
1,255,249,233
1,255,249,233
Light Source Color - OFF	 , 29/03/2024,15:50:17
2,255,249,233
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,15:50:30
3,1,1,0
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
Light Source Color - OFF	 , 29/03/2024,15:50:42
4,255,18,37
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,15:50:55
5,1,1,0
5,29,195,67
5,29,195,67
5,29,195,67
5,29,195,67
5,29,195,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
5,29,194,67
Light Source Color - OFF	 , 29/03/2024,15:51:08
6,29,194,67
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,15:51:21
7,1,1,0
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,135
7,3,44,135
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
7,3,44,134
Light Source Color - OFF	 , 29/03/2024,15:51:33
8,3,44,134
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,15:51:46
9,1,1,0
9,255,250,235
9,255,249,234
9,255,249,234
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
9,255,249,233
Light Source Color - OFF	 , 29/03/2024,15:51:59
10,255,249,233
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,15:52:12
11,17,2,2
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
Light Source Color - OFF	 , 29/03/2024,15:52:24
12,255,16,34
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,15:52:37
13,5,28,10
13,29,195,67
13,29,194,67
13,29,194,67
13,29,194,67
13,29,194,67
13,29,194,66
13,29,194,66
13,29,194,66
13,29,194,66
13,29,193,66
13,29,193,66
13,29,194,66
13,29,194,66
13,29,193,66
13,29,193,66
13,29,193,66
Light Source Color - OFF	 , 29/03/2024,15:52:50
14,24,163,56
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,15:53:03
15,2,10,30
15,3,43,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
15,3,44,134
Light Source Color - OFF	 , 29/03/2024,15:53:15
