NPK_Tube_Blank_N_0.6mgL_1  :  ปริมาณ 0.6 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
0,6,36,12
Light Source Color - WHITE	 , 29/03/2024,16:24:27
1,6,36,12
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,16:24:39
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,16:24:51
3,1,1,0
3,255,15,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
3,255,14,30
Light Source Color - OFF	 , 29/03/2024,16:25:04
4,255,14,30
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,16:25:16
5,1,1,0
5,32,236,88
5,32,236,87
5,32,236,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
5,32,235,87
Light Source Color - OFF	 , 29/03/2024,16:25:28
6,23,165,61
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,16:25:40
7,2,18,57
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
7,5,85,255
Light Source Color - OFF	 , 29/03/2024,16:25:52
8,5,78,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,16:26:05
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,16:26:17
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,16:26:29
11,1,1,0
11,255,15,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
11,255,14,30
Light Source Color - OFF	 , 29/03/2024,16:26:41
12,255,14,30
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,16:26:53
13,1,1,0
13,32,236,88
13,32,236,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
13,32,235,87
Light Source Color - OFF	 , 29/03/2024,16:27:05
14,23,169,63
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,16:27:18
15,2,15,48
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
15,5,85,255
Light Source Color - OFF	 , 29/03/2024,16:27:30
