NPK_Tube_Blank_N_1.0mgL_1  :  ปริมาณ 1.0มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,16:39:16
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,16:39:28
2,181,213,250
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,16:39:41
3,4,1,1
3,247,14,27
3,246,14,27
3,246,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
3,245,14,27
Light Source Color - OFF	 , 29/03/2024,16:39:53
4,245,14,27
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,16:40:05
5,11,78,28
5,30,230,83
5,30,229,83
5,30,229,83
5,30,229,83
5,30,229,83
5,30,229,83
5,30,229,82
5,30,229,82
5,30,228,82
5,30,228,82
5,30,228,82
5,30,228,82
5,30,228,82
5,30,228,82
5,30,228,82
Light Source Color - OFF	 , 29/03/2024,16:40:17
6,30,228,82
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,16:40:30
7,1,1,0
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
7,5,81,255
Light Source Color - OFF	 , 29/03/2024,16:40:42
8,4,58,193
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,16:40:54
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,16:41:06
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,16:41:19
11,54,4,6
11,246,14,27
11,245,14,27
11,245,14,27
11,245,14,27
11,245,14,27
11,245,14,27
11,245,14,27
11,245,14,27
11,244,14,27
11,244,14,27
11,244,14,27
11,244,14,27
11,244,14,27
11,244,14,27
11,244,14,27
Light Source Color - OFF	 , 29/03/2024,16:41:31
12,244,14,27
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,16:41:43
13,1,1,0
13,30,230,83
13,30,229,83
13,30,229,83
13,30,229,83
13,30,229,82
13,30,228,82
13,30,228,82
13,30,228,82
13,30,228,82
13,30,228,82
13,30,228,82
13,30,228,82
13,30,228,82
13,30,228,82
13,30,228,82
Light Source Color - OFF	 , 29/03/2024,16:41:55
14,24,175,63
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,16:42:08
15,1,1,0
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
15,5,81,255
Light Source Color - OFF	 , 29/03/2024,16:42:20
