NPK_Tube_Blank_N_10mgL_1  :  ปริมาณ 10 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,15:18:09
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,15:18:22
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,15:18:34
3,91,6,10
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
Light Source Color - OFF	 , 29/03/2024,15:18:47
4,255,15,30
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,15:18:59
5,1,1,0
5,31,235,85
5,31,235,85
5,31,235,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
5,31,234,85
Light Source Color - OFF	 , 29/03/2024,15:19:12
6,23,170,62
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,15:19:25
7,1,1,0
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
7,5,89,255
Light Source Color - OFF	 , 29/03/2024,15:19:37
8,5,89,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,15:19:50
9,88,94,112
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,15:20:03
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,15:20:15
11,1,1,0
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
11,255,15,30
Light Source Color - OFF	 , 29/03/2024,15:20:28
12,241,13,26
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,15:20:41
13,1,1,0
13,31,235,85
13,31,235,85
13,31,234,85
13,31,234,85
13,31,234,85
13,31,234,85
13,31,234,85
13,31,234,85
13,31,234,85
13,31,234,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
13,31,233,85
Light Source Color - OFF	 , 29/03/2024,15:20:53
14,31,233,85
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,15:21:06
15,2,8,24
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
15,5,89,255
Light Source Color - OFF	 , 29/03/2024,15:21:19
