NPK_Tube_blank_N_2.0mgL_1  :  ปริมาณ 2.0 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:04:10
1,51,60,69
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:04:23
2,197,239,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,14:04:35
3,1,1,0
3,255,14,29
3,255,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,254,14,29
3,253,14,29
3,253,14,29
3,253,14,29
Light Source Color - OFF	 , 29/03/2024,14:04:47
4,253,14,29
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:05:00
5,1,1,0
5,32,247,90
5,32,246,90
5,32,246,90
5,32,246,89
5,32,246,89
5,32,246,89
5,32,245,89
5,32,245,89
5,32,245,89
5,32,245,89
5,32,245,89
5,32,245,89
5,32,245,89
5,32,245,89
5,32,245,89
5,32,245,89
Light Source Color - OFF	 , 29/03/2024,14:05:12
6,27,208,76
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:05:25
7,2,22,70
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
7,5,87,255
Light Source Color - OFF	 , 29/03/2024,14:05:37
8,5,87,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:05:49
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:06:02
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,14:06:14
11,42,3,5
11,254,14,29
11,254,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,253,14,29
11,252,14,29
11,252,14,29
11,252,14,29
Light Source Color - OFF	 , 29/03/2024,14:06:27
12,252,14,29
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:06:39
13,1,1,0
13,32,246,90
13,32,246,89
13,32,246,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
13,32,245,89
Light Source Color - OFF	 , 29/03/2024,14:06:51
14,32,245,89
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:07:04
15,2,9,26
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
15,5,87,255
Light Source Color - OFF	 , 29/03/2024,14:07:16
