NPK_Tube_water_N_2.0mgL_1  :  ปริมาณ 2.0 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
0,7,43,15
Light Source Color - WHITE	 , 29/03/2024,14:18:39
1,7,43,15
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:18:52
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,14:19:04
3,1,1,0
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
3,255,18,37
Light Source Color - OFF	 , 29/03/2024,14:19:17
4,255,18,37
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:19:29
5,2,10,4
5,41,255,115
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
5,41,255,114
Light Source Color - OFF	 , 29/03/2024,14:19:42
6,40,255,113
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:19:54
7,2,8,24
7,6,119,255
7,6,119,255
7,6,119,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
7,6,120,255
Light Source Color - OFF	 , 29/03/2024,14:20:06
8,6,115,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,14:20:19
9,35,40,44
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,14:20:31
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,14:20:44
11,22,2,3
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
11,255,18,37
Light Source Color - OFF	 , 29/03/2024,14:20:56
12,255,17,35
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,14:21:09
13,4,24,9
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,114
13,41,255,113
13,41,255,113
13,41,255,113
Light Source Color - OFF	 , 29/03/2024,14:21:21
14,39,255,108
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,14:21:34
15,2,10,32
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
15,6,120,255
Light Source Color - OFF	 , 29/03/2024,14:21:46
