Tube_blank_0.2mgL_0  :  NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,11:23:02
1,3,3,3
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,11:23:15
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,11:23:27
3,1,1,0
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
3,255,15,31
Light Source Color - OFF	 , 29/03/2024,11:23:40
4,255,15,31
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,11:23:52
5,1,1,0
5,31,234,86
5,31,233,86
5,31,233,86
5,31,233,86
5,31,233,86
5,31,232,86
5,31,232,86
5,31,232,86
5,31,232,86
5,31,232,86
5,31,232,86
5,31,232,86
5,31,232,86
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
Light Source Color - OFF	 , 29/03/2024,11:24:05
6,31,232,85
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 29/03/2024,11:24:17
7,1,1,0
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
7,5,86,255
Light Source Color - OFF	 , 29/03/2024,11:24:30
8,5,86,255
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 29/03/2024,11:24:42
9,1,1,0
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
9,255,255,255
Light Source Color - OFF	 , 29/03/2024,11:24:55
10,255,255,255
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 29/03/2024,11:25:07
11,1,1,0
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
11,255,15,31
Light Source Color - OFF	 , 29/03/2024,11:25:19
12,255,15,31
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 29/03/2024,11:25:32
13,1,1,0
13,31,233,86
13,31,233,86
13,31,233,86
13,31,232,86
13,31,232,86
13,31,232,86
13,31,232,86
13,31,232,85
13,31,232,85
13,31,232,85
13,31,232,85
13,31,232,85
13,31,232,85
13,31,232,85
13,31,231,85
13,31,231,85
13,31,231,85
Light Source Color - OFF	 , 29/03/2024,11:25:44
14,31,231,85
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 29/03/2024,11:25:57
15,1,1,0
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
15,5,86,255
Light Source Color - OFF	 , 29/03/2024,11:26:09
