Tube_blank_0.6mgL_0  :  ปริมาณ 0.6 มิลลิกรัมต่อลิตร...NPK_RGBGLOVE_Auto_TCS
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 29/03/2024,12:03:03
1,1,1,0
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
1,255,255,255
Light Source Color - OFF	 , 29/03/2024,12:03:16
2,255,255,255
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 29/03/2024,12:03:28
3,1,1,0
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
3,255,15,30
Light Source Color - OFF	 , 29/03/2024,12:03:41
4,255,15,30
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 29/03/2024,12:03:53
5,1,1,0
5,31,233,86
5,31,233,85
5,31,233,85
5,31,233,85
5,31,233,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
5,31,232,85
Light Source Color - OFF	 , 29/03/2024,12:04:06
6,31,232,85
6,1,1,0
