WIO_N_0.6mgL_0 : ปริมาณ 0.6 มิลลิกรัมต่อลิตร
 วัน เวลา ในการเก็บข้อมูล  :: 29/03/2024,19:36:45
0,1,White,2
1,2,White,992
2,3,White,994
3,4,White,994
4,5,White,995
5,6,White,993
6,7,White,991
7,8,White,991
8,9,White,994
9,10,White,996
10,11,White,994
11,12,White,995
12,13,White,993
13,14,White,992
14,15,White,996
15,16,White,995
16,17,White,996
17,18,White,996
18,19,White,991
19,20,White,994
20,21,White,996
21,22,White,992
22,23,White,993
23,24,White,996
24,25,White,991
25,26,White,996
26,27,White,995
27,28,White,993
28,29,White,996
29,1,Red,991
30,2,Red,987
31,3,Red,985
32,4,Red,984
33,5,Red,984
34,6,Red,983
35,7,Red,990
36,8,Red,983
37,9,Red,988
38,10,Red,984
39,11,Red,983
40,12,Red,986
41,13,Red,983
42,14,Red,985
43,15,Red,983
44,16,Red,987
45,17,Red,989
46,18,Red,987
47,19,Red,984
48,20,Red,984
49,21,Red,985
50,22,Red,988
51,23,Red,987
52,24,Red,984
53,25,Red,987
54,26,Red,988
55,27,Red,986
56,28,Red,990
57,29,Red,987
58,30,Red,983
59,1,Green,983
60,2,Green,979
61,3,Green,980
62,4,Green,979
63,5,Green,984
64,6,Green,986
65,7,Green,982
66,8,Green,985
67,9,Green,979
68,10,Green,980
69,11,Green,982
70,12,Green,985
71,13,Green,982
72,14,Green,981
73,15,Green,986
74,16,Green,982
75,17,Green,984
76,18,Green,982
77,19,Green,979
78,20,Green,986
79,21,Green,982
80,22,Green,982
81,23,Green,980
82,24,Green,980
83,25,Green,983
84,26,Green,980
85,27,Green,984
86,28,Green,985
87,29,Green,984
88,1,Blue,981
89,2,Blue,976
90,3,Blue,983
91,4,Blue,982
92,5,Blue,976
93,6,Blue,983
94,7,Blue,976
95,8,Blue,982
96,9,Blue,978
97,10,Blue,976
98,11,Blue,980
99,12,Blue,978
100,13,Blue,981
101,14,Blue,977
102,15,Blue,976
103,16,Blue,976
104,17,Blue,984
105,18,Blue,982
106,19,Blue,979
107,20,Blue,977
108,21,Blue,981
109,22,Blue,979
110,23,Blue,978
111,24,Blue,978
112,25,Blue,980
113,26,Blue,976
114,27,Blue,978
115,28,Blue,980
116,29,Blue,981
117,30,Blue,982
118,1,Black,983
119,2,Black,4
120,3,Black,2
121,4,Black,3
122,5,Black,2
123,6,Black,3
124,7,Black,3
125,8,Black,2
126,9,Black,2
127,10,Black,2
128,11,Black,4
129,12,Black,3
130,13,Black,2
131,14,Black,2
132,15,Black,4
133,16,Black,3
134,17,Black,3
135,18,Black,3
136,19,Black,3
137,20,Black,2
138,21,Black,3
139,22,Black,2
140,23,Black,3
141,24,Black,2
142,25,Black,3
143,26,Black,3
144,27,Black,2
145,28,Black,2
146,29,Black,3
147,0,Black,2
148,0,Black,2
149,0,Black,3
150,0,Black,3
151,0,Black,2
152,0,Black,4
153,0,Black,3
154,0,Black,3
155,0,Black,2
156,0,Black,3
157,0,Black,3
158,0,Black,3
159,0,Black,3
160,0,Black,3
161,0,Black,3
162,0,Black,3
163,0,Black,2
164,0,Black,3
165,0,Black,2
166,0,Black,3
167,0,Black,3
168,0,Black,2
169,0,Black,3
170,0,Black,3
171,0,Black,2
172,0,Black,2
173,0,Black,2
174,0,Black,3
175,0,Black,3
176,0,Black,4
177,1,White,3
178,2,White,995
179,3,White,993
180,4,White,993
181,5,White,995
182,6,White,993
183,7,White,990
184,8,White,993
185,9,White,992
186,10,White,991
187,11,White,993
188,12,White,994
189,13,White,993
190,14,White,996
191,15,White,996
192,16,White,993
193,17,White,994
194,18,White,994
195,19,White,993
196,20,White,995
197,21,White,991
198,22,White,991
199,23,White,993
200,24,White,994
201,25,White,993
202,26,White,990
203,27,White,992
204,28,White,991
205,29,White,995
206,1,Red,993
207,2,Red,984
208,3,Red,990
209,4,Red,984
210,5,Red,986
211,6,Red,986
212,7,Red,986
